created_year,created_month,created_dayofweek,created_hour,is_weekend,Borough,Community Board,Incident Zip,City,Location Type,Address Type,Latitude,Longitude,y
2015,9,4,0,0,MANHATTAN,Other,Other,NEW YORK,3+ Family Mixed Use Building,INTERSECTION,40.70777155,-74.0129631,336.0
2015,9,4,0,0,STATEN ISLAND,Other,Other,STATEN ISLAND,Commercial Building,LATLONG,40.57520924,-74.10454652,1296.0
2015,9,4,0,0,BROOKLYN,01 BROOKLYN,11206,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.70898692,-73.9412069,240.0
2015,9,4,0,0,BRONX,11 BRONX,Other,BRONX,3+ Family Mixed Use Building,ADDRESS,40.85413014,-73.86481331,432.0
2015,9,4,0,0,BROOKLYN,06 BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.677223,-73.99871294,432.0
2015,9,4,0,0,QUEENS,Other,Other,Flushing,3+ Family Apt. Building,ADDRESS,40.76762733,-73.82411151,448.4433333
2015,9,4,0,0,STATEN ISLAND,01 STATEN ISLAND,Other,STATEN ISLAND,1-2 Family Dwelling,ADDRESS,40.63729808,-74.16236493,504.0
2015,9,4,0,0,BROOKLYN,Unspecified BROOKLYN,11238,BROOKLYN,3+ Family Apt. Building,BLOCKFACE,40.68798149,-73.96127729,280.065
2015,9,5,0,1,BROOKLYN,02 BROOKLYN,Other,BROOKLYN,Other (Explain Below),ADDRESS,40.68986364,-73.9797204,803.3061111
2015,9,4,0,0,MANHATTAN,03 MANHATTAN,Other,NEW YORK,3+ Family Mixed Use Building,ADDRESS,40.72653488,-73.98838621,144.0
2015,9,4,0,0,BROOKLYN,06 BROOKLYN,11217,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.67826447,-73.9811408,432.0
2015,9,4,0,0,BRONX,07 BRONX,Other,BRONX,3+ Family Apt. Building,ADDRESS,40.8664057,-73.89502823,336.0
2015,9,4,0,0,BROOKLYN,Unspecified BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,LATLONG,40.69712803,-73.99665696,240.0
2015,9,4,0,0,MANHATTAN,12 MANHATTAN,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.86741245,-73.92202383,288.0
2015,9,4,0,0,BRONX,07 BRONX,10458,BRONX,3+ Family Apt. Building,ADDRESS,40.86450803,-73.89089523,158.5908333
2015,9,4,0,0,QUEENS,Other,Other,Other,1-2 Family Dwelling,ADDRESS,40.77699482,-73.74720556,576.0
2015,9,5,0,1,BRONX,05 BRONX,10453,BRONX,Vacant Lot,INTERSECTION,40.85104623,-73.91487156,120.0
2015,9,5,0,1,BRONX,09 BRONX,Other,BRONX,3+ Family Apt. Building,ADDRESS,40.83446735,-73.87481636,96.0
2015,9,5,0,1,QUEENS,Other,Other,Other,1-2 Family Dwelling,ADDRESS,40.7584127,-73.7707495,288.0
2015,9,5,0,1,BRONX,05 BRONX,Other,BRONX,Other (Explain Below),ADDRESS,40.85840604,-73.89938614,136.5111111
2015,9,5,0,1,STATEN ISLAND,01 STATEN ISLAND,Other,STATEN ISLAND,1-2 Family Dwelling,ADDRESS,40.62851111,-74.13781349,408.0
2015,9,5,0,1,BROOKLYN,06 BROOKLYN,11215,BROOKLYN,Construction Site,ADDRESS,40.67587135,-73.98321083,96.0
2015,9,5,0,1,BRONX,05 BRONX,10458,BRONX,3+ Family Apt. Building,ADDRESS,40.860505,-73.89546413,136.53
