created_year,created_month,created_dayofweek,created_hour,is_weekend,Borough,Community Board,Incident Zip,City,Location Type,Address Type,Latitude,Longitude,y
2015,9,4,0,0,MANHATTAN,Other,Other,NEW YORK,3+ Family Mixed Use Building,INTERSECTION,40.70777155363643,-74.01296309970473,336.0
2015,9,4,0,0,STATEN ISLAND,Other,Other,STATEN ISLAND,Commercial Building,LATLONG,40.57520924294744,-74.1045465185469,1296.0
2015,9,4,0,0,BROOKLYN,01 BROOKLYN,11206,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.70898692345805,-73.94120690238431,240.0
2015,9,4,0,0,BRONX,11 BRONX,Other,BRONX,3+ Family Mixed Use Building,ADDRESS,40.85413014360452,-73.86481331044513,432.0
2015,9,4,0,0,BROOKLYN,06 BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.67722299833378,-73.99871293635606,432.0
2015,9,4,0,0,QUEENS,Other,Other,Flushing,3+ Family Apt. Building,ADDRESS,40.767627333732726,-73.82411151243869,448.4433333333333
2015,9,4,0,0,STATEN ISLAND,01 STATEN ISLAND,Other,STATEN ISLAND,1-2 Family Dwelling,ADDRESS,40.6372980778842,-74.16236493414125,504.0
2015,9,4,0,0,BROOKLYN,Unspecified BROOKLYN,11238,BROOKLYN,3+ Family Apt. Building,BLOCKFACE,40.68798148757293,-73.96127729131256,280.065
2015,9,5,0,1,BROOKLYN,02 BROOKLYN,Other,BROOKLYN,Other (Explain Below),ADDRESS,40.68986363852689,-73.97972039707659,803.3061111111111
2015,9,4,0,0,MANHATTAN,03 MANHATTAN,Other,NEW YORK,3+ Family Mixed Use Building,ADDRESS,40.72653487825302,-73.98838620844788,144.0
2015,9,4,0,0,BROOKLYN,06 BROOKLYN,11217,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.67826447404716,-73.98114079799706,432.0
2015,9,4,0,0,BRONX,07 BRONX,Other,BRONX,3+ Family Apt. Building,ADDRESS,40.86640570453644,-73.89502822968775,336.0
2015,9,4,0,0,BROOKLYN,Unspecified BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,LATLONG,40.6971280345472,-73.99665696299859,240.0
2015,9,4,0,0,MANHATTAN,12 MANHATTAN,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.86741245151251,-73.92202382717221,288.0
2015,9,4,0,0,BRONX,07 BRONX,10458,BRONX,3+ Family Apt. Building,ADDRESS,40.86450802846447,-73.89089523494967,158.59083333333334
2015,9,4,0,0,QUEENS,Other,Other,Other,1-2 Family Dwelling,ADDRESS,40.77699482003529,-73.7472055635315,576.0
2015,9,5,0,1,BRONX,05 BRONX,10453,BRONX,Vacant Lot,INTERSECTION,40.8510462341248,-73.91487156130975,120.0
2015,9,5,0,1,BRONX,09 BRONX,Other,BRONX,3+ Family Apt. Building,ADDRESS,40.83446735296425,-73.87481635822843,96.0
2015,9,5,0,1,QUEENS,Other,Other,Other,1-2 Family Dwelling,ADDRESS,40.75841270276448,-73.77074950009586,288.0
2015,9,5,0,1,BRONX,05 BRONX,Other,BRONX,Other (Explain Below),ADDRESS,40.85840604170503,-73.89938613893433,136.51111111111112
2015,9,5,0,1,STATEN ISLAND,01 STATEN ISLAND,Other,STATEN ISLAND,1-2 Family Dwelling,ADDRESS,40.628511108844286,-74.13781349312268,408.0
2015,9,5,0,1,BROOKLYN,06 BROOKLYN,11215,BROOKLYN,Construction Site,ADDRESS,40.67587135158893,-73.98321082927473,96.0
2015,9,5,0,1,BRONX,05 BRONX,10458,BRONX,3+ Family Apt. Building,ADDRESS,40.860504996166966,-73.89546413199993,136.53
2015,9,5,0,1,BROOKLYN,16 BROOKLYN,11212,BROOKLYN,Hospital,INTERSECTION,40.65417887501159,-73.9107115042918,1488.0
2015,9,5,0,1,MANHATTAN,Other,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.74168093644074,-73.99573089820112,984.0
2015,9,5,0,1,QUEENS,Unspecified QUEENS,11385,RIDGEWOOD,1-2 Family Dwelling,LATLONG,40.69910247668415,-73.8973725532681,112.32416666666667
2015,9,5,0,1,MANHATTAN,Other,Other,NEW YORK,Other (Explain Below),INTERSECTION,40.71415106104559,-74.00340521349969,312.0
